"time","event","gene_id","strand","ES","EE","I_S1","S_S1","I_S2","S_S2","FDR","dPSI"
105,"SE","Solyc01g095460.3","+",78968727,78968945,"49,57,74","4,0,0","145,66,63","8,14,15",0.000159452079561334,0.193
105,"SE","Solyc01g095460.3","+",78968896,78968945,"46,57,68","4,0,0","161,72,70","8,14,15",0.000256397280247838,0.128
120,"SE","Solyc01g095460.3","+",78968745,78969171,"58,32,47","0,0,0","39,53,44","10,17,23",2.76541610125386e-14,0.414
120,"SE","Solyc01g095460.3","+",78968727,78968945,"78,51,40","0,0,0","64,58,76","10,17,23",3.79012067208398e-13,0.328
120,"SE","Solyc01g095460.3","+",78968727,78968794,"94,56,64","1,0,0","47,65,45","13,16,14",2.76541610125386e-14,0.282
120,"SE","Solyc01g095460.3","+",78968896,78968945,"75,46,39","0,0,0","63,63,82","10,17,23",2.5608510745698e-12,0.237
90,"SE","Solyc01g097880.4","+",80838587,80838658,"281,359,305","2,0,0","274,218,318","36,45,37",0,0.178
105,"SE","Solyc01g097880.4","+",80838587,80838658,"173,195,218","0,0,4","342,221,239","47,46,44",0,0.197
120,"SE","Solyc01g097880.4","+",80838587,80838658,"281,190,215","0,0,0","199,235,233","35,56,40",0,0.223
10,"SE","Solyc01g098500.3","+",81268973,81269449,"3,0,0","0,3,2","1,1,1","0,0,0",0.000223896228260534,-0.667
40,"SE","Solyc01g098500.3","+",81269407,81269449,"4,3,4","0,0,0","0,0,0","2,6,3",2.97012414664141e-13,1
40,"SE","Solyc01g098500.3","+",81269414,81269449,"4,1,4","0,0,0","0,0,0","2,6,3",6.48027086537998e-13,1
90,"SE","Solyc01g098830.3","+",81498341,81498585,"5,2,0","33,46,36","9,18,11","20,33,33",2.06779583746692e-06,-0.15
80,"SE","Solyc01g100810.3","-",83013623,83013932,"72,60,59","0,0,0","30,39,28","2,6,3",5.66903100773885e-05,0.176
90,"SE","Solyc01g100810.3","-",83013623,83013932,"43,80,53","0,0,0","50,30,34","6,0,4",0.000405432108532818,0.128
105,"SE","Solyc01g100810.3","-",83013623,83013932,"39,61,58","0,0,0","50,18,42","1,4,7",5.47225941832748e-05,0.199
120,"SE","Solyc01g100810.3","-",83013623,83013932,"49,51,56","0,0,0","22,44,66","3,2,6",0.000173531892530549,0.15
5,"SE","Solyc01g103110.3","+",84049873,84050262,"0,2,0","26,15,16","4,1,8","14,16,10",0.00580816743713161,-0.126
40,"SE","Solyc01g103110.3","+",84049873,84050262,"14,11,7","0,0,2","0,0,2","20,11,14",0,0.856
40,"SE","Solyc01g103110.3","+",84049866,84050262,"254,229,274","0,0,2","171,232,296","20,11,14",6.53295306740643e-10,0.116
40,"SE","Solyc01g103110.3","+",84049873,84049988,"232,252,264","0,0,2","171,204,258","20,11,14",1.55080082109575e-10,0.111
70,"SE","Solyc01g103110.3","+",84049866,84050262,"325,304,304","16,8,18","181,205,179","28,19,26",4.79016260505313e-05,0.124
70,"SE","Solyc01g103110.3","+",84049866,84049975,"299,294,293","16,8,18","168,196,174","28,19,26",4.98994537578165e-05,0.116
90,"SE","Solyc01g103110.3","+",84049867,84050262,"9,0,5","9,20,0","0,0,1","15,28,20",0.00998817515856541,0.436
90,"SE","Solyc01g103110.3","+",84049866,84050262,"333,409,339","9,20,0","200,190,217","15,28,20",9.18888882643177e-07,0.125
120,"SE","Solyc01g103110.3","+",84049866,84050262,"342,241,283","14,8,0","163,206,221","26,29,9",5.90986771619639e-06,0.133
120,"SE","Solyc01g103110.3","+",84049873,84049988,"337,251,289","14,8,0","190,217,213","26,29,9",3.06804215702072e-06,0.111
105,"SE","Solyc01g103950.4","-",84736088,84736190,"5,2,0","0,0,1","0,0,0","7,2,2",3.43285817135408e-05,0.667
105,"SE","Solyc01g103950.4","-",84737226,84737336,"8,4,1","0,0,0","6,1,7","3,1,2",0.000774564330412799,0.477
105,"SE","Solyc01g103950.4","-",84737226,84737486,"8,4,2","0,0,0","7,2,6","3,1,2",0.000335977571970387,0.454
120,"SE","Solyc01g103950.4","-",84735224,84735305,"60,44,33","0,0,1","32,53,45","4,9,2",9.49979035313996e-05,0.13
80,"SE","Solyc01g106040.3","+",86346173,86346288,"13,4,11","0,0,0","16,7,31","3,7,1",0.00031301778506557,0.314
105,"SE","Solyc01g106040.3","+",86346173,86346288,"3,16,9","0,0,0","20,13,15","8,0,9",2.83070897441973e-05,0.31
120,"SE","Solyc01g106040.3","+",86346173,86346288,"19,6,4","0,0,0","21,10,8","0,4,7",0.000123468017738055,0.341
15,"SE","Solyc01g108600.3","+",88185346,88185531,"3,2,7","6,6,3","6,2,1","0,0,0",3.42680217535375e-08,-0.706
15,"SE","Solyc01g108600.3","+",88185346,88185509,"8,1,8","6,6,3","6,2,1","0,0,0",5.02385232025325e-07,-0.651
15,"SE","Solyc01g108600.3","+",88185160,88185531,"35,41,26","6,6,3","13,13,28","0,0,0",0.000280845533444564,-0.223
15,"SE","Solyc01g108600.3","+",88185160,88185509,"40,40,27","6,6,3","13,13,28","0,0,0",0.000321418531555751,-0.215
70,"SE","Solyc01g108600.3","+",88185160,88185548,"74,55,47","0,0,0","19,22,23","4,6,2",1.65574101528668e-06,0.266
70,"SE","Solyc01g108600.3","+",88185160,88185509,"74,55,49","0,0,0","19,26,22","4,6,2",1.78035391391889e-06,0.255
80,"SE","Solyc01g108600.3","+",88185160,88185509,"64,74,62","0,0,0","7,14,16","0,2,10",0.000103702896904344,0.259
105,"SE","Solyc01g108600.3","+",88185166,88185509,"1,5,3","0,0,0","8,0,0","10,7,10",3.63153783433403e-10,0.905
105,"SE","Solyc01g108600.3","+",88185346,88185509,"1,11,3","0,0,0","6,1,0","10,7,10",7.20291919891945e-12,0.901
105,"SE","Solyc01g108600.3","+",88185101,88185509,"1,5,1","0,0,0","5,0,4","10,7,10",1.37984509681446e-08,0.878
105,"SE","Solyc01g108600.3","+",88185160,88185531,"55,55,64","0,0,0","15,15,12","10,7,10",0,0.56
105,"SE","Solyc01g108600.3","+",88185160,88185548,"55,51,64","0,0,0","15,17,12","10,7,10",0,0.549
105,"SE","Solyc01g108600.3","+",88185160,88185509,"56,56,65","0,0,0","20,15,12","10,7,10",0,0.536
120,"SE","Solyc01g108600.3","+",88185160,88185509,"66,60,58","0,2,0","10,17,12","4,4,0",0.000953898776388155,0.234
70,"SE","Solyc01g110280.3","-",89345816,89346012,"141,158,135","0,0,0","80,81,88","7,0,8",4.28076047629508e-05,0.101
50,"SE","Solyc01g110480.4","+",89526086,89526169,"149,126,135","0,0,0","79,109,115","20,7,16",3.56288682767598e-12,0.184
60,"SE","Solyc01g110480.4","+",89526084,89526203,"143,104,89","5,3,0","73,101,58","14,23,9",2.82271472446152e-08,0.219
60,"SE","Solyc01g110480.4","+",89526088,89526169,"147,116,97","5,3,0","92,153,100","14,23,9",5.661527568089e-06,0.137
70,"SE","Solyc01g110480.4","+",89526084,89526169,"358,294,252","0,0,0","283,360,275","29,26,39",0,0.141
80,"SE","Solyc01g110480.4","+",89526084,89526169,"264,236,384","0,0,0","187,240,160","23,18,13",0,0.127
90,"SE","Solyc01g110480.4","+",89526084,89526203,"129,204,137","0,0,0","109,95,103","26,50,28",0,0.371
90,"SE","Solyc01g110480.4","+",89526084,89526169,"360,567,338","0,0,0","323,254,322","26,50,28",0,0.156
105,"SE","Solyc01g110480.4","+",89526084,89526169,"273,278,252","0,0,0","359,346,342","51,30,57",0,0.17
120,"SE","Solyc01g110480.4","+",89526084,89526169,"314,334,286","0,0,0","277,309,276","43,44,39",0,0.187
50,"SE","Solyc01g111130.4","-",89857817,89858069,"4,7,4","0,0,0","6,1,0","2,2,2",1.91607749012515e-05,0.733
90,"SE","Solyc01g111130.4","-",89857628,89858069,"6,3,12","0,0,1","5,2,3","0,12,9",0.000149539783669082,0.546
90,"SE","Solyc01g111130.4","-",89856897,89857025,"81,61,78","0,0,1","35,32,36","0,12,9",2.3374007789569e-06,0.235
90,"SE","Solyc01g111130.4","-",89856897,89857022,"202,168,198","0,0,1","94,61,82","0,12,9",2.51238110171986e-07,0.142
105,"SE","Solyc01g111130.4","-",89856897,89857022,"166,138,114","0,0,2","85,94,70","13,0,10",1.53721351458402e-06,0.132
10,"SE","Solyc01g112310.4","+",90739712,90739988,"22,29,26","0,0,0","9,9,14","12,3,11",2.54057996862642e-10,0.579
10,"SE","Solyc01g112310.4","+",90739726,90739762,"18,33,6","0,0,0","17,23,6","12,3,11",3.33217304277244e-06,0.434
10,"SE","Solyc01g112310.4","+",90739726,90739988,"90,132,76","0,0,0","86,72,58","12,3,11",1.19529491391153e-07,0.19
10,"SE","Solyc01g112310.4","+",90739726,90740290,"119,150,94","0,0,0","123,106,74","12,3,11",6.88441337039504e-07,0.149
90,"SE","Solyc01g112310.4","+",90737430,90737597,"0,0,1","13,14,18","8,0,4","0,7,0",0.000394867180470949,-0.658
90,"SE","Solyc01g112310.4","+",90739726,90740290,"156,152,125","13,14,18","118,119,110","0,7,0",3.27906128129957e-05,-0.139
105,"SE","Solyc01g112310.4","+",90739712,90739988,"24,22,21","1,5,18","6,9,14","0,0,0",1.61035633223398e-05,-0.34
105,"SE","Solyc01g112310.4","+",90739726,90739762,"11,17,16","1,5,18","12,6,13","0,0,0",7.50316768197043e-06,-0.317
105,"SE","Solyc01g112310.4","+",90739726,90739988,"87,86,84","1,5,18","53,64,61","0,0,0",1.66374686380966e-05,-0.142
105,"SE","Solyc01g112310.4","+",90739726,90740290,"136,103,125","1,5,18","96,93,87","0,0,0",1.06994106123183e-05,-0.109
30,"SE","Solyc02g005180.3","+",6943969,6944215,"14,13,6","0,0,0","2,18,14","7,12,7",4.61985456765573e-08,0.649
30,"SE","Solyc02g005180.3","+",6943981,6944215,"14,15,6","0,0,0","2,20,14","7,12,7",4.71736640339306e-08,0.64
30,"SE","Solyc02g005180.3","+",6943974,6944215,"14,18,5","0,0,0","2,18,16","7,12,7",4.55685603916963e-08,0.638
30,"SE","Solyc02g005180.3","+",6944498,6944713,"11,8,5","0,0,0","9,10,15","7,12,7",2.1915759302281e-07,0.599
30,"SE","Solyc02g005180.3","+",6944498,6944868,"27,41,31","0,0,0","6,25,26","7,12,7",1.71720737629482e-09,0.513
40,"SE","Solyc02g005180.3","+",6943967,6944057,"104,87,102","0,3,3","55,37,65","2,11,6",0.00564312943961571,0.137
50,"SE","Solyc02g005180.3","+",6943974,6944215,"9,14,28","0,0,0","7,4,2","13,14,11",0,0.86
50,"SE","Solyc02g005180.3","+",6943981,6944215,"10,14,32","0,0,0","7,4,2","13,14,11",0,0.86
50,"SE","Solyc02g005180.3","+",6944498,6944713,"25,30,30","0,0,0","22,15,22","13,14,11",2.08934721376827e-13,0.564
50,"SE","Solyc02g005180.3","+",6944498,6944868,"39,48,46","0,0,0","29,12,27","13,14,11",0,0.541
60,"SE","Solyc02g005180.3","+",6943974,6944215,"10,18,22","0,1,0","10,9,3","21,13,8",0,0.764
60,"SE","Solyc02g005180.3","+",6943981,6944215,"10,19,22","0,1,0","14,9,3","21,13,8",0,0.747
60,"SE","Solyc02g005180.3","+",6944155,6944215,"7,17,22","0,1,0","11,9,6","21,13,8",1.57124313560761e-13,0.658
60,"SE","Solyc02g005180.3","+",6944498,6944868,"46,42,50","0,1,0","16,26,21","21,13,8",1.57124313560761e-13,0.537
60,"SE","Solyc02g005180.3","+",6944498,6944713,"15,26,31","0,1,0","21,23,24","21,13,8",1.01502306559641e-09,0.509
60,"SE","Solyc02g005180.3","+",6943967,6944057,"117,123,148","0,1,0","40,56,47","21,13,8",0,0.31
70,"SE","Solyc02g005180.3","+",6944155,6944215,"11,2,16","0,0,0","8,4,1","18,20,6",0,0.843
70,"SE","Solyc02g005180.3","+",6944498,6944713,"24,16,22","0,0,0","21,19,8","18,20,6",0,0.637
70,"SE","Solyc02g005180.3","+",6944498,6944868,"51,39,73","0,0,0","28,13,21","18,20,6",0,0.561
80,"SE","Solyc02g005180.3","+",6944498,6944868,"65,68,55","1,0,3","26,0,14","0,21,22",0.000347577399255597,0.544
80,"SE","Solyc02g005180.3","+",6944498,6944713,"29,31,23","1,0,3","2,13,17","0,21,22",0.00642798241527999,0.404
80,"SE","Solyc02g005180.3","+",6943967,6944057,"188,103,153","1,0,3","33,34,51","0,21,22",5.02299170419068e-07,0.29
80,"SE","Solyc02g005180.3","+",6944498,6944713,"83,75,99","27,21,24","11,22,32","6,18,24",0.00448578442690357,0.221
80,"SE","Solyc02g005180.3","+",6943981,6944215,"62,44,49","0,0,3","14,19,14","2,5,1",0.00977004039038384,0.194
90,"SE","Solyc02g005180.3","+",6944155,6944215,"5,18,20","0,0,5","3,0,8","17,9,34",1.12251780904152e-12,0.828
90,"SE","Solyc02g005180.3","+",6943974,6944215,"3,31,20","0,0,5","4,0,7","17,9,34",2.88838341000607e-12,0.823
90,"SE","Solyc02g005180.3","+",6943981,6944215,"9,33,20","0,0,5","4,5,7","17,9,34",5.73882688942526e-12,0.751
90,"SE","Solyc02g005180.3","+",6944647,6944868,"85,78,65","0,0,5","11,11,25","17,9,34",0,0.658
90,"SE","Solyc02g005180.3","+",6944498,6944868,"85,78,65","0,0,5","9,13,29","17,9,34",0,0.647
90,"SE","Solyc02g005180.3","+",6943974,6944215,"44,69,56","0,0,0","10,13,15","4,2,9",1.78776895945915e-09,0.408
90,"SE","Solyc02g005180.3","+",6943981,6944215,"50,71,56","0,0,0","10,18,15","4,2,9",9.37945765279875e-09,0.39
90,"SE","Solyc02g005180.3","+",6943967,6944057,"118,212,197","0,0,5","53,41,63","17,9,34",0,0.342
90,"SE","Solyc02g005180.3","+",6944155,6944215,"46,69,56","0,0,0","10,13,17","4,2,9",6.06330160816839e-09,0.321
105,"SE","Solyc02g005180.3","+",6943974,6944215,"22,13,13","0,1,0","10,19,4","19,31,13",0,0.764
105,"SE","Solyc02g005180.3","+",6943981,6944215,"20,14,12","0,1,0","12,19,6","19,31,13",0,0.737
105,"SE","Solyc02g005180.3","+",6944155,6944215,"16,13,9","0,1,0","9,21,3","19,31,13",6.97510832161426e-14,0.728
105,"SE","Solyc02g005180.3","+",6943981,6944057,"1,1,1","0,1,0","3,0,3","19,31,13",0.00244880869959841,0.723
105,"SE","Solyc02g005180.3","+",6944460,6944713,"15,18,23","0,1,0","29,12,6","19,31,13",1.34691746900137e-13,0.706
105,"SE","Solyc02g005180.3","+",6944498,6944713,"15,18,23","0,1,0","29,15,7","19,31,13",1.93156845829318e-13,0.687
105,"SE","Solyc02g005180.3","+",6944460,6944868,"61,74,58","0,1,0","26,19,11","19,31,13",0,0.679
105,"SE","Solyc02g005180.3","+",6944498,6944868,"61,74,58","0,1,0","26,22,12","19,31,13",0,0.663
105,"SE","Solyc02g005180.3","+",6943967,6944057,"107,150,145","0,1,0","73,37,35","19,31,13",0,0.41
105,"SE","Solyc02g005180.3","+",6943974,6944215,"60,42,80","0,0,0","16,9,18","0,5,4",0.000111523353651473,0.278
105,"SE","Solyc02g005180.3","+",6943981,6944215,"58,43,79","0,0,0","18,9,20","0,5,4",0.000153792687986113,0.271
105,"SE","Solyc02g005180.3","+",6944524,6944868,"63,74,58","22,24,23","26,19,10","25,27,9",0.000141492155717971,0.265
105,"SE","Solyc02g005180.3","+",6944647,6944868,"61,74,58","22,24,23","26,22,10","25,27,9",0.000239299475561421,0.253
105,"SE","Solyc02g005180.3","+",6944498,6944868,"126,118,133","22,24,23","54,33,24","25,27,9",0.000909590419307068,0.242
105,"SE","Solyc02g005180.3","+",6944155,6944215,"57,42,75","0,0,0","16,11,18","0,5,4",0.000245813268364033,0.209
120,"SE","Solyc02g005180.3","+",6944498,6944868,"99,51,82","1,0,0","3,3,5","9,23,17",0,0.883
120,"SE","Solyc02g005180.3","+",6943974,6944215,"13,10,17","1,0,0","3,10,0","9,23,17",0,0.848
120,"SE","Solyc02g005180.3","+",6943981,6944215,"15,10,17","1,0,0","4,10,0","9,23,17",0,0.84
120,"SE","Solyc02g005180.3","+",6943981,6944057,"2,1,4","1,0,0","2,0,0","9,23,17",1.33167846083472e-08,0.814
120,"SE","Solyc02g005180.3","+",6943981,6944057,"2,1,4","1,0,0","1,0,0","2,6,5",2.75321542287408e-08,0.774
120,"SE","Solyc02g005180.3","+",6943974,6944057,"0,1,4","1,0,0","0,0,0","2,6,5",0.000598778588934093,0.667
120,"SE","Solyc02g005180.3","+",6943974,6944057,"0,1,4","1,0,0","1,0,0","9,23,17",0.000542921285043989,0.644
120,"SE","Solyc02g005180.3","+",6944498,6944713,"17,11,9","1,0,0","18,32,20","9,23,17",1.09003975833392e-08,0.538
120,"SE","Solyc02g005180.3","+",6943967,6944057,"167,119,138","1,0,0","42,52,44","9,23,17",0,0.348
120,"SE","Solyc02g005180.3","+",6943974,6944215,"63,54,54","1,0,0","15,12,18","2,6,5",1.81639982823576e-07,0.346
120,"SE","Solyc02g005180.3","+",6943981,6944215,"65,54,54","1,0,0","16,12,18","2,6,5",2.20106678019691e-07,0.342
120,"SE","Solyc02g005180.3","+",6943967,6944057,"167,116,139","1,0,0","41,52,44","2,6,5",1.46953945490596e-05,0.124
70,"SE","Solyc02g050280.4","+",4534361,4534464,"81,62,83","31,24,20","47,50,34","25,48,37",0.00530276941897966,0.221
80,"SE","Solyc02g050280.4","+",4534361,4534464,"66,66,57","17,11,12","37,48,44","27,26,30",9.71772757573998e-05,0.26
10,"SE","Solyc02g062130.4","-",31709333,31709412,"124,123,113","0,0,0","175,136,91","15,15,7",3.06694867280169e-08,0.122
20,"SE","Solyc02g062130.4","-",31710372,31710590,"36,72,53","0,5,0","71,38,32","6,9,8",0.00584856407089533,0.226
30,"SE","Solyc02g062130.4","-",31710372,31710590,"51,66,48","4,7,1","52,42,65","24,19,10",0.00290259055912658,0.28
30,"SE","Solyc02g062130.4","-",31710372,31710607,"113,126,98","4,7,1","115,113,184","24,19,10",0.00327315861339118,0.153
30,"SE","Solyc02g062130.4","-",31709333,31709412,"93,103,104","0,0,0","89,130,128","5,17,8",7.61189808866008e-07,0.111
40,"SE","Solyc02g062130.4","-",31709333,31709412,"109,83,80","2,3,0","113,77,75","10,14,24",6.65551638568133e-07,0.196
50,"SE","Solyc02g062130.4","-",31709333,31709412,"107,115,112","0,3,0","128,88,102","14,11,11",1.04840539348007e-07,0.136
70,"SE","Solyc02g062130.4","-",31709088,31709180,"75,31,62","0,0,3","50,52,53","7,4,9",0.000205963358812471,0.146
80,"SE","Solyc02g062130.4","-",31710372,31710607,"98,139,134","8,18,14","106,93,130","2,0,5",8.0205710437188e-05,-0.137
90,"SE","Solyc02g062130.4","-",31709333,31709412,"218,151,160","0,4,0","83,70,77","19,0,7",1.5185662405727e-06,0.114
105,"SE","Solyc02g062130.4","-",31710372,31710590,"43,63,58","6,3,17","52,39,57","5,0,0",0.00838967840885494,-0.171
105,"SE","Solyc02g062130.4","-",31709088,31709180,"54,58,74","0,0,4","65,38,46","8,1,9",0.00245142409550712,0.122
120,"SE","Solyc02g062130.4","-",31710372,31710590,"43,50,70","4,3,14","32,25,37","2,0,1",0.00731278443008482,-0.129
