"time","event","gene_id","strand","F_ES","F_EE","S_ES","S_EE","I_S1","S_S1","I_S2","S_S2","FDR","dPSI"
20,"MXE","Solyc03g093390.4","-",49212085,49212262,49212331,49212474,"47,51,40","12,0,5","93,119,77","30,53,28",0.000589723287449028,0.166
70,"MXE","Solyc03g093390.4","-",49212072,49212262,49212331,49212417,"30,26,30","16,14,11","17,30,35","20,53,78",6.66016735894619e-06,0.294
70,"MXE","Solyc03g093390.4","-",49212058,49212262,49212331,49212417,"30,26,30","16,14,14","17,30,35","20,56,50",0.00010722213385836,0.248
70,"MXE","Solyc03g093390.4","-",49212072,49212262,49212331,49212474,"82,56,71","16,14,11","64,57,77","20,53,78",0.000185724310738609,0.24
70,"MXE","Solyc03g093390.4","-",49212072,49212262,49212331,49212447,"42,31,42","16,14,11","28,50,55","20,53,78",0.000124281280370521,0.234
70,"MXE","Solyc03g093390.4","-",49212058,49212262,49212331,49212447,"42,31,42","16,14,14","28,50,55","20,56,50",0.00082136124458562,0.188
90,"MXE","Solyc03g093390.4","-",49212087,49212262,49212331,49212474,"95,61,79","40,8,42","80,47,103","78,42,103",0.000988550597992394,0.234
105,"MXE","Solyc03g093390.4","-",49212058,49212262,49212331,49212447,"56,38,80","8,13,26","46,53,31","68,29,63",7.84282511846926e-05,0.323
105,"MXE","Solyc03g093390.4","-",49212058,49212262,49212331,49212474,"77,59,104","8,13,26","76,89,64","68,29,63",0.00016390000356431,0.244
120,"MXE","Solyc03g093390.4","-",49212072,49212262,49212331,49212447,"82,78,56","57,39,32","49,37,31","68,39,52",0.000288417727663256,0.203
70,"MXE","Solyc05g052630.4","-",62240762,62241130,62241337,62241457,"9,40,5","3,14,0","6,23,19","0,2,0",0.000543251412488766,-0.133
70,"MXE","Solyc05g052630.4","-",62240712,62240762,62241032,62241371,"0,13,8","75,116,87","8,21,24","65,75,61",8.5080608725951e-05,-0.105
80,"MXE","Solyc05g052630.4","-",62241032,62241130,62241337,62241368,"0,0,0","6,12,3","2,2,4","4,12,17",0.000598364875410564,-0.279
90,"MXE","Solyc05g052630.4","-",62240712,62240876,62241032,62241130,"2,7,2","95,69,67","15,18,21","76,76,145",0.000295828160933233,-0.131
90,"MXE","Solyc05g052630.4","-",62240712,62240864,62241032,62241130,"2,7,2","95,69,67","15,18,21","83,76,142",0.000345609731425779,-0.128
90,"MXE","Solyc05g052630.4","-",62240712,62240876,62241032,62241185,"2,6,0","95,69,67","14,14,26","76,76,145",1.0521782772201e-05,-0.121
90,"MXE","Solyc05g052630.4","-",62240712,62240864,62241032,62241185,"2,6,0","95,69,67","14,14,26","83,76,142",1.31255033032428e-05,-0.118
90,"MXE","Solyc05g052630.4","-",62240712,62240876,62241032,62241371,"4,6,0","95,69,67","14,11,26","76,76,145",0.000280057193484968,-0.105
90,"MXE","Solyc05g052630.4","-",62240712,62240864,62241032,62241371,"4,6,0","95,69,67","14,11,26","83,76,142",0.000322534528320573,-0.102
105,"MXE","Solyc05g052630.4","-",62241032,62241130,62241337,62241457,"13,8,22","12,3,2","8,6,4","11,26,17",0.000380736092334818,0.455
105,"MXE","Solyc05g052630.4","-",62241032,62241185,62241337,62241457,"13,8,22","12,4,0","8,6,4","10,21,21",0.00064396862223756,0.45
105,"MXE","Solyc05g052630.4","-",62240712,62240864,62241032,62241185,"12,4,0","78,96,66","10,21,21","88,78,77",0.00086498684539769,-0.118
105,"MXE","Solyc05g052630.4","-",62240712,62240762,62241032,62241130,"12,3,2","89,99,75","11,26,17","89,80,59",8.32564567415061e-05,-0.115
105,"MXE","Solyc05g052630.4","-",62240712,62240762,62241032,62241185,"12,4,0","89,99,75","10,21,21","89,80,59",6.9935629678549e-05,-0.101
105,"MXE","Solyc05g052630.4","-",62240712,62240864,62241337,62241371,"1,0,16","78,96,66","0,0,0","88,78,77",0.000320411083608086,0.101
105,"MXE","Solyc05g052630.4","-",62240712,62241185,62241337,62241371,"1,0,16","78,96,66","0,0,0","83,79,75",0.000335037260907538,0.101
90,"MXE","Solyc07g054475.1","-",62713304,62713361,62713453,62713545,"0,0,0","4,3,7","1,3,10","2,3,7",5.53315726291275e-07,-0.437
105,"MXE","Solyc07g054475.1","-",62713304,62713361,62713453,62713545,"0,1,1","8,9,4","2,1,7","1,2,7",0.000463365705286532,-0.376
5,"MXE","Solyc08g048550.3","+",11737212,11737662,11737965,11738023,"0,0,0","4,6,4","2,0,8","3,1,3",0.000462799429718853,-0.322
10,"MXE","Solyc08g048550.3","+",11737212,11737662,11737965,11738023,"0,0,0","2,1,3","1,6,1","4,7,3",0.000287090656233909,-0.236
15,"MXE","Solyc08g059760.3","-",43328543,43328686,43330883,43331125,"5,2,2","4,1,4","0,1,0","4,10,3",7.10069399605582e-05,0.484
15,"MXE","Solyc08g059760.3","-",43328564,43328686,43330883,43331125,"5,2,2","11,7,11","0,1,0","18,22,9",0.00047926304021571,0.2
30,"MXE","Solyc08g059760.3","-",43328543,43328686,43329107,43329160,"2,6,10","3,6,3","1,0,3","8,9,19",0.000192060813943852,0.524
60,"MXE","Solyc08g059760.3","-",43328543,43328686,43329107,43329160,"0,0,1","1,2,1","2,2,1","1,4,0",0.000985448438139627,-0.524
60,"MXE","Solyc08g059760.3","-",43329107,43329160,43330883,43331125,"3,5,4","0,0,0","8,11,15","2,2,5",8.25898007032448e-05,0.27
70,"MXE","Solyc08g059760.3","-",43328822,43329160,43330883,43330967,"22,23,25","6,8,3","26,19,31","0,1,2",0.000449294142832355,-0.129
105,"MXE","Solyc08g059760.3","-",43328808,43329160,43330883,43331080,"4,0,2","1,2,5","6,2,9","1,0,0",0.000117425108598809,-0.59
15,"MXE","Solyc08g065350.4","+",51360021,51360274,51360445,51360563,"2,2,1","40,38,28","11,9,6","27,26,45",0.000363880895709023,-0.164
105,"MXE","Solyc08g065350.4","+",51360021,51360274,51360445,51360563,"1,0,0","17,21,23","4,4,9","18,20,22",1.23011368580458e-05,-0.179
105,"MXE","Solyc08g065350.4","+",51358628,51358684,51360021,51360274,"37,28,22","1,0,0","41,29,24","4,4,9",9.91356807904869e-05,0.112
105,"MXE","Solyc09g082800.3","+",64570371,64570678,64570723,64570894,"0,0,0","2,5,4","3,3,0","1,0,3",0.000610368550687577,-0.583
120,"MXE","Solyc09g082800.3","+",64570371,64570589,64570723,64570894,"0,0,0","3,2,2","3,3,1","3,1,0",4.37077972740046e-06,-0.75
5,"MXE","Solyc10g084120.2","-",62928937,62929010,62929947,62930192,"4,0,0","30,34,25","161,47,118","72,13,16",0,-0.703
5,"MXE","Solyc10g084120.2","-",62928865,62929010,62929947,62930192,"4,0,0","55,47,41","161,47,118","95,25,27",0,-0.674
5,"MXE","Solyc10g084120.2","-",62928870,62929010,62929947,62930192,"4,0,0","56,50,43","161,47,118","98,24,28",0,-0.669
15,"MXE","Solyc10g084120.2","-",62928937,62929010,62929947,62930197,"352,0,69","44,23,24","4,0,0","46,32,20",0.000160580854542763,0.492
15,"MXE","Solyc10g084120.2","-",62928865,62929010,62929947,62930197,"352,0,69","73,44,40","4,0,0","74,50,32",0.00010053693068726,0.468
15,"MXE","Solyc10g084120.2","-",62928870,62929010,62929947,62930197,"352,0,69","73,44,42","4,0,0","71,51,32",0.000101550252320849,0.462
70,"MXE","Solyc10g084120.2","-",62928937,62929010,62929947,62930183,"6,0,12","11,29,12","3,0,0","19,15,32",0.000940336785131722,0.204
70,"MXE","Solyc10g084120.2","-",62928865,62929010,62929947,62930183,"6,0,12","20,71,26","3,0,0","37,35,41",0.000765572055307811,0.156
70,"MXE","Solyc10g084120.2","-",62928870,62929010,62929947,62930183,"6,0,12","28,79,26","3,0,0","37,43,41",0.000995249158690209,0.136
80,"MXE","Solyc10g084120.2","-",62928870,62928925,62928937,62929028,"16,0,9","0,1,1","0,0,0","4,3,2",9.09450226938227e-07,0.628
120,"MXE","Solyc10g084120.2","-",62928937,62929010,62929947,62930197,"0,0,0","31,20,32","4,286,17","41,28,11",1.10721259251949e-07,-0.496
120,"MXE","Solyc10g084120.2","-",62928865,62929010,62929947,62930197,"0,0,0","38,38,34","4,286,17","59,47,23",2.84797272918178e-07,-0.447
120,"MXE","Solyc10g084120.2","-",62928865,62929010,62929947,62930192,"32,57,15","38,38,34","4,10,7","59,47,23",5.86458953105557e-05,0.296
120,"MXE","Solyc10g084120.2","-",62928937,62929010,62929947,62930249,"0,0,0","31,20,32","4,10,10","41,28,11",1.07412482913587e-06,-0.227
120,"MXE","Solyc10g084120.2","-",62928865,62929010,62929947,62930249,"0,0,0","38,38,34","4,10,10","59,47,23",1.56645482851968e-06,-0.179
5,"MXE","lnc_RNA:Solyc04r022200.1","-",55809421,55809763,55809811,55809841,"120,110,96","5,108,43","102,171,302","18,2,11",4.14240362111071e-06,-0.161
5,"MXE","lnc_RNA:Solyc04r022200.1","-",55809361,55809793,55809811,55809841,"120,110,96","56,0,0","102,171,302","44,71,113",1.38442359703282e-05,0.124
10,"MXE","lnc_RNA:Solyc04r022200.1","-",55809529,55809763,55809763,55809841,"299,279,189","2,6,7","110,180,84","31,4,40",6.66462516059314e-11,0.137
10,"MXE","lnc_RNA:Solyc04r022200.1","-",55809577,55809763,55809781,55809841,"294,277,177","150,56,77","108,175,79","84,154,44",0.00048905164159887,0.131
10,"MXE","lnc_RNA:Solyc04r022200.1","-",55809577,55809763,55809811,55809841,"288,268,172","150,56,77","104,169,74","84,154,44",0.000117389671092286,0.127
15,"MXE","lnc_RNA:Solyc04r022200.1","-",55809421,55809763,55809781,55809841,"275,119,202","14,16,15","123,297,163","48,92,69",0,0.151
15,"MXE","lnc_RNA:Solyc04r022200.1","-",55809421,55809763,55809811,55809841,"272,114,193","14,16,15","118,293,155","48,92,69",0,0.138
15,"MXE","lnc_RNA:Solyc04r022200.1","-",55809421,55809793,55809811,55809841,"272,114,193","14,15,12","118,293,155","43,92,62",0,0.131
30,"MXE","lnc_RNA:Solyc04r022200.1","-",55809391,55809763,55809784,55809841,"137,179,362","50,6,0","317,171,123","97,79,53",1.08352060657126e-09,0.141
30,"MXE","lnc_RNA:Solyc04r022200.1","-",55809391,55809763,55809811,55809841,"133,169,350","50,6,0","314,164,115","97,79,53",4.80639172906675e-10,0.131
40,"MXE","lnc_RNA:Solyc04r022200.1","-",55809421,55809763,55809811,55809841,"182,173,165","21,16,50","139,188,135","102,54,154",5.59603717537331e-06,0.196
40,"MXE","lnc_RNA:Solyc04r022200.1","-",55809361,55809763,55809811,55809841,"182,173,165","107,63,126","139,188,135","4,36,72",0.000542376118383647,-0.13
60,"MXE","lnc_RNA:Solyc04r022200.1","-",55809361,55809763,55809811,55809841,"313,131,167","43,10,182","188,196,182","1,3,6",2.07432700901276e-09,-0.162
70,"MXE","lnc_RNA:Solyc04r022200.1","-",55809529,55809763,55809763,55809841,"152,384,179","48,95,7","150,131,203","4,4,9",5.21474482100613e-09,-0.102
80,"MXE","lnc_RNA:Solyc04r022200.1","-",55809469,55809763,55809811,55809841,"249,241,193","12,4,42","159,155,178","108,46,74",0,0.162
80,"MXE","lnc_RNA:Solyc04r022200.1","-",55809469,55809763,55809817,55809841,"243,240,185","12,4,42","156,152,177","108,46,74",0,0.159
80,"MXE","lnc_RNA:Solyc04r022200.1","-",55809469,55809793,55809811,55809841,"249,241,193","63,1,37","159,155,178","102,42,63",1.02300249038646e-05,0.119
80,"MXE","lnc_RNA:Solyc04r022200.1","-",55809469,55809793,55809817,55809841,"243,240,185","63,1,37","156,152,177","102,42,63",1.25532768023249e-05,0.116
105,"MXE","lnc_RNA:Solyc04r022200.1","-",55809577,55809763,55809811,55809841,"310,252,153","341,152,392","155,446,141","15,119,103",0.000320411083608086,-0.257
105,"MXE","lnc_RNA:Solyc04r022200.1","-",55809421,55809763,55809811,55809841,"310,252,153","107,22,20","155,446,141","67,122,124",0.0002723688433056,0.133
105,"MXE","lnc_RNA:Solyc04r022200.1","-",55809391,55809763,55809811,55809841,"310,252,153","113,162,118","155,446,141","59,0,68",8.6893300769152e-06,-0.122
120,"MXE","lnc_RNA:Solyc04r022200.1","-",55809421,55809763,55809811,55809841,"159,116,241","77,78,71","254,263,139","26,9,34",3.54242788948504e-11,-0.152
120,"MXE","lnc_RNA:Solyc04r022200.1","-",55809391,55809763,55809811,55809841,"159,116,241","33,66,86","254,263,139","73,0,17",7.8119891298934e-06,-0.109
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822362,55822422,55822482,55822542,"0,0,0","1,1,2","2,0,7","0,1,0",1.39989291582891e-06,-0.667
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822335,55822422,55822482,55822692,"5,2,0","21,0,3","3,1,3","0,0,0",1.38442359703282e-05,-0.614
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822335,55822422,55822542,55822692,"5,1,0","21,0,3","3,1,3","0,0,0",2.59039273449788e-06,-0.614
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822335,55822422,55822482,55822662,"5,1,1","21,0,3","4,1,1","0,0,0",1.01995054176832e-05,-0.544
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822146,55822182,55822242,55822362,"0,1,1","3,17,1","4,7,0","0,0,4",0.000569981330690204,-0.518
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822335,55822422,55822662,55822722,"1,1,2","21,0,3","3,4,1","0,0,0",1.59297346101692e-05,-0.507
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822335,55822422,55822602,55822722,"1,1,3","21,0,3","8,4,1","0,0,0",1.14005847427103e-05,-0.498
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822335,55822422,55822482,55822722,"3,2,3","21,0,3","6,5,1","0,0,0",2.91377812816917e-05,-0.485
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822335,55822422,55822542,55822722,"3,1,3","21,0,3","6,5,1","0,0,0",1.5876903202651e-05,-0.485
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822362,55822422,55822602,55822692,"3,0,0","1,1,2","5,0,2","0,1,0",0.000569981330690204,-0.425
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822335,55822362,55822362,55822422,"5,3,1","20,1,0","1,6,5","0,0,0",0.000701355305170297,-0.37
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822335,55822422,55822482,55822602,"5,4,12","21,0,3","9,4,12","0,0,0",0.000360083459825887,-0.35
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822392,55822602,55822782,"120,65,67","181,67,89","125,129,86","18,24,58",6.90224741331654e-07,-0.331
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822392,55822542,55822782,"120,65,67","181,67,89","117,129,86","18,24,58",7.67095372014026e-07,-0.329
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822392,55822482,55822782,"120,66,67","181,67,89","117,129,86","18,24,58",9.28741891001917e-07,-0.328
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822392,55822662,55822782,"117,64,67","181,67,89","117,122,84","18,24,58",5.2142034453664e-07,-0.319
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822662,55822662,55822782,"117,64,67","186,66,90","117,122,84","22,22,56",2.36518707827139e-07,-0.319
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822482,55822602,55822782,"120,65,67","186,77,90","125,129,86","26,28,63",1.34221080344446e-06,-0.317
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822362,55822602,55822782,"120,65,67","189,69,90","125,129,86","24,33,55",1.21195038111276e-07,-0.315
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822422,55822602,55822782,"120,65,67","193,75,94","125,129,86","27,32,62",6.09216074171942e-07,-0.314
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822482,55822542,55822782,"120,65,67","186,77,90","117,129,86","26,28,63",1.44841008909931e-06,-0.313
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822362,55822542,55822782,"120,65,67","189,69,90","117,129,86","24,33,55",1.21600247428608e-07,-0.312
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822482,55822482,55822782,"120,66,67","186,77,90","117,129,86","26,28,63",1.55214881156197e-06,-0.312
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822362,55822482,55822782,"120,66,67","189,69,90","117,129,86","24,33,55",1.58236292382926e-07,-0.311
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822422,55822542,55822782,"120,65,67","193,75,94","117,129,86","27,32,62",6.29759320539559e-07,-0.31
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822422,55822482,55822782,"120,66,67","193,75,94","117,129,86","27,32,62",7.68507274562665e-07,-0.309
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822662,55822722,55822782,"118,50,68","186,66,90","113,118,80","22,22,56",8.18906725764014e-09,-0.307
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822392,55822722,55822782,"118,50,68","181,67,89","113,118,80","18,24,58",3.01777619744808e-08,-0.306
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822482,55822662,55822782,"117,64,67","186,77,90","117,122,84","26,28,63",9.6414470526221e-07,-0.305
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822362,55822662,55822782,"117,64,67","189,69,90","117,122,84","24,33,55",1.01321821503425e-07,-0.304
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822422,55822662,55822782,"117,64,67","193,75,94","117,122,84","27,32,62",4.957261123569e-07,-0.303
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822662,55822755,55822782,"110,48,63","186,66,90","113,115,78","22,22,56",5.84332479229369e-10,-0.301
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822392,55822755,55822782,"110,48,63","181,67,89","113,115,78","18,24,58",2.21481673742365e-09,-0.3
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822482,55822722,55822782,"118,50,68","186,77,90","113,118,80","26,28,63",1.43821923988885e-07,-0.296
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822362,55822722,55822782,"118,50,68","189,69,90","113,118,80","24,33,55",5.23028050006027e-09,-0.294
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822422,55822722,55822782,"118,50,68","193,75,94","113,118,80","27,32,62",6.21852293796669e-08,-0.294
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822482,55822755,55822782,"110,48,63","186,77,90","113,115,78","26,28,63",1.2975637499045e-08,-0.292
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822422,55822755,55822782,"110,48,63","193,75,94","113,115,78","27,32,62",5.31311967471583e-09,-0.291
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822362,55822755,55822782,"110,48,63","189,69,90","113,115,78","24,33,55",4.0008842393003e-10,-0.29
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822542,55822602,55822782,"120,65,67","203,82,96","125,129,86","31,36,83",0.000132149274625788,-0.289
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822542,55822542,55822782,"120,65,67","203,82,96","117,129,86","31,36,83",0.00013916463463237,-0.286
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822542,55822662,55822782,"117,64,67","203,82,96","117,122,84","31,36,83",0.000118945747089361,-0.279
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822362,55822362,55822782,"120,110,67","189,69,90","117,142,86","24,33,55",0.000343380166317511,-0.274
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822542,55822722,55822782,"118,50,68","203,82,96","113,118,80","31,36,83",3.69957924613819e-05,-0.274
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822332,55822482,55822482,55822542,"0,0,0","7,11,1","2,0,7","8,7,8",0.000402530271367642,-0.273
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822542,55822755,55822782,"110,48,63","203,82,96","113,115,78","31,36,83",6.58427858639201e-06,-0.272
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822335,55822482,55822482,55822542,"0,0,0","33,11,1","2,0,7","8,7,8",0.00033659094074598,-0.271
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822662,55822755,55822842,"128,129,83","186,66,90","124,97,161","22,22,56",3.1073027336902e-06,-0.265
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822242,55822422,55822482,55822542,"0,0,0","78,9,5","2,0,7","11,11,7",0.000606334309503857,-0.265
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822392,55822755,55822842,"128,129,83","181,67,89","124,97,161","18,24,58",2.9652527919543e-06,-0.263
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822242,55822482,55822482,55822542,"0,0,0","71,11,1","2,0,7","10,7,8",0.00036211598614523,-0.259
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822149,55822182,55822242,55822362,"0,1,1","4,12,0","4,7,0","0,1,1",0.000714583981494674,-0.258
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822482,55822755,55822842,"128,129,83","186,77,90","124,97,161","26,28,63",2.24017666097445e-06,-0.251
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822422,55822755,55822842,"128,129,83","193,75,94","124,97,161","27,32,62",9.06314842634714e-06,-0.248
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822362,55822755,55822842,"128,129,83","189,69,90","124,97,161","24,33,55",1.42142340197124e-05,-0.247
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822275,55822422,55822482,55822542,"0,0,0","12,75,5","2,0,7","9,11,10",0.000304553790316905,-0.246
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822275,55822482,55822482,55822542,"0,0,0","5,81,1","2,0,7","8,7,11",0.000176358495417389,-0.246
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822662,55822782,55822842,"133,137,88","186,66,90","127,102,166","22,22,56",2.56360494204985e-06,-0.245
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822362,55822482,55822602,"218,113,103","181,67,91","180,116,145","19,22,55",5.89394937391116e-09,-0.244
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822482,55822482,55822602,"218,113,103","181,66,90","180,116,145","19,21,55",6.49246493821379e-09,-0.244
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822392,55822782,55822842,"133,137,88","181,67,89","127,102,166","18,24,58",2.22630457903955e-06,-0.243
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822602,55822755,55822782,"110,48,63","280,96,139","113,115,78","71,55,128",0.000518798353641094,-0.242
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822662,55822812,55822842,"119,127,78","186,66,90","120,92,154","22,22,56",2.21252435588984e-06,-0.242
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822113,55822482,55822482,55822542,"0,0,0","16,11,1","2,0,7","14,7,8",0.000812145533205471,-0.241
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822392,55822812,55822842,"119,127,78","181,67,89","120,92,154","18,24,58",1.92932228465557e-06,-0.241
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822215,55822422,55822482,55822542,"0,0,0","28,14,7","2,0,7","9,22,11",0.000604525190987092,-0.239
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822215,55822482,55822482,55822542,"0,0,0","21,16,3","2,0,7","8,18,12",0.000456781675857965,-0.239
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822392,55822482,55822602,"218,113,103","181,66,89","180,116,145","21,22,57",2.25123627940614e-08,-0.236
5,"MXE","lnc_RNA:Solyc04r022210.1","-",55822182,55822662,55822722,55822842,"195,172,125","186,66,90","183,149,216","22,22,56",9.37329522969301e-08,-0.236
