"time","event","gene_id","strand","ri_ES","ri_EE","I_S1","S_S1","I_S2","S_S2","FDR","dPSI"
120,"RI","Solyc01g008850.3","+",2828221,2828636,"25,12,49","1053,718,973","456,582,449","558,559,499",0,-0.299
120,"RI","Solyc01g008850.3","+",2828880,2829200,"32,20,19","1107,894,956","341,435,339","574,788,789",0,-0.231
120,"RI","Solyc01g008850.3","+",2828589,2829003,"64,43,39","1180,801,996","225,317,234","656,833,723",0,-0.16
120,"RI","Solyc01g008850.3","+",2828589,2828811,"32,24,25","1323,942,1168","220,303,226","920,1013,886",0,-0.129
60,"RI","Solyc01g008930.4","-",2899245,2899527,"4,5,4","5,15,7","1,0,0","9,16,6",0.000139599462123104,0.23
70,"RI","Solyc01g008930.4","-",2896997,2897240,"26,32,22","0,0,2","30,26,36","6,7,4",0.000186834300767581,0.211
120,"RI","Solyc01g008930.4","-",2899245,2899527,"7,19,2","7,2,10","0,1,0","21,8,9",5.49971695951972e-06,0.422
105,"RI","Solyc01g028860.3","+",36929705,36930186,"7,6,6","0,0,0","11,6,6","8,2,2",1.57808905068206e-07,0.416
120,"RI","Solyc01g028860.3","+",36929705,36930186,"10,7,2","0,0,0","2,4,12","3,5,2",4.06406685068936e-07,0.532
10,"RI","Solyc01g057770.3","+",56908132,56908564,"46,59,106","133,236,143","24,2,7","141,121,100",6.48772784948878e-08,0.163
10,"RI","Solyc01g057770.3","+",56908383,56908766,"52,70,62","137,321,158","19,2,1","105,91,102",3.76807220734037e-08,0.129
25,"RI","Solyc01g057770.3","+",56908393,56908743,"44,51,63","19,9,16","13,6,8","0,0,0",1.12835527520419e-05,-0.3
30,"RI","Solyc01g057770.3","+",56908132,56908564,"89,45,41","1130,645,615","63,22,52","96,138,144",1.97882173610028e-11,-0.148
30,"RI","Solyc01g057770.3","+",56908388,56908743,"39,25,18","1035,734,594","51,13,38","116,124,100",0,-0.135
30,"RI","Solyc01g057770.3","+",56907308,56907729,"13,1,3","711,547,437","34,7,21","81,95,82",0,-0.128
60,"RI","Solyc01g057770.3","+",56908132,56908564,"25,6,5","509,351,184","26,70,26","85,163,82",0,-0.163
60,"RI","Solyc01g057770.3","+",56907334,56907729,"3,4,0","329,241,130","18,27,9","63,104,55",0,-0.126
60,"RI","Solyc01g057770.3","+",56908383,56908766,"9,10,0","488,366,101","35,32,16","130,152,101",0,-0.107
70,"RI","Solyc01g057770.3","+",56907334,56907729,"3,2,3","207,208,112","59,54,50","96,118,96",0,-0.245
70,"RI","Solyc01g057770.3","+",56908132,56908564,"24,4,9","370,288,133","84,61,74","150,180,134",0,-0.204
80,"RI","Solyc01g057770.3","+",56908383,56908766,"17,6,35","157,129,351","41,42,29","83,98,142",2.0900283044739e-09,-0.136
90,"RI","Solyc01g057770.3","+",56907308,56907729,"0,15,4","104,464,104","44,53,91","95,90,117",0,-0.266
90,"RI","Solyc01g057770.3","+",56908132,56908564,"7,93,13","144,563,233","61,77,52","161,179,220",8.1468990109098e-11,-0.127
105,"RI","Solyc01g057770.3","+",56907334,56907729,"1,4,0","79,97,105","88,101,80","73,150,141",0,-0.326
105,"RI","Solyc01g057770.3","+",56908132,56908564,"3,19,4","105,123,130","86,125,77","203,309,258",9.38041914679773e-15,-0.151
120,"RI","Solyc01g057770.3","+",56908669,56908990,"18,31,5","161,188,119","164,158,221","198,148,180",0,-0.316
120,"RI","Solyc01g057770.3","+",56907308,56907729,"0,17,0","103,145,78","96,59,77","103,115,138",0,-0.273
120,"RI","Solyc01g057770.3","+",56908132,56908559,"17,40,15","167,231,161","64,70,91","194,204,185",2.95801433461519e-10,-0.125
120,"RI","Solyc01g057770.3","+",56907142,56907509,"3,4,0","139,163,90","23,33,28","153,124,175",1.5620837956457e-13,-0.101
70,"RI","Solyc01g058270.3","+",59110959,59111222,"0,0,5","30,25,56","10,7,3","28,20,31",0.000795240649188974,-0.129
90,"RI","Solyc01g058270.3","+",59110556,59110802,"17,6,22","27,27,36","1,0,5","21,26,31",2.20276546682278e-05,0.194
105,"RI","Solyc01g058270.3","+",59110556,59110802,"8,17,17","17,27,40","6,3,0","40,19,26",8.56291769277632e-05,0.189
120,"RI","Solyc01g058270.3","+",59111876,59112149,"4,0,0","2,5,1","3,5,3","0,0,0",2.73833404268738e-09,-0.813
15,"RI","Solyc01g067120.4","-",68255336,68255658,"189,210,150","33,60,50","47,30,36","35,40,27",3.94618933598891e-06,0.297
20,"RI","Solyc01g067120.4","-",68255336,68255658,"196,174,250","63,49,84","49,23,35","45,30,65",2.13147403291456e-10,0.34
30,"RI","Solyc01g067120.4","-",68255572,68255839,"18,9,11","9,17,7","13,9,32","0,0,2",4.36106527631685e-08,-0.544
70,"RI","Solyc01g067120.4","-",68255572,68255839,"10,13,12","8,7,7","33,27,54","0,2,1",4.62711056917224e-10,-0.466
70,"RI","Solyc01g067120.4","-",68255336,68255658,"98,65,52","219,195,154","72,73,117","60,38,30",1.39807530124063e-09,-0.373
70,"RI","Solyc01g067120.4","-",68255472,68255834,"13,15,12","463,408,409","52,44,68","182,166,173",0,-0.149
80,"RI","Solyc01g067120.4","-",68255336,68255658,"70,68,66","191,185,151","53,53,65","27,27,36",0,-0.348
80,"RI","Solyc01g067120.4","-",68255472,68255834,"15,6,37","448,432,422","27,30,28","132,110,101",0,-0.112
90,"RI","Solyc01g067120.4","-",68255336,68255658,"83,111,69","138,202,142","95,113,105","26,34,44",0,-0.403
90,"RI","Solyc01g067120.4","-",68255572,68255839,"13,15,15","6,6,0","42,26,20","0,0,0",9.4037964947112e-06,-0.278
90,"RI","Solyc01g067120.4","-",68255472,68255834,"16,26,20","373,607,397","65,37,38","172,130,132",0,-0.141
105,"RI","Solyc01g067120.4","-",68255336,68255658,"48,48,46","93,226,131","74,159,107","36,32,30",0,-0.49
105,"RI","Solyc01g067120.4","-",68255472,68255834,"5,14,12","280,441,389","40,113,59","131,149,149",0,-0.216
120,"RI","Solyc01g067120.4","-",68255336,68255658,"69,58,33","136,106,133","74,95,66","49,47,32",7.65102267259303e-14,-0.326
120,"RI","Solyc01g067120.4","-",68255572,68255839,"7,7,16","6,0,4","38,26,22","0,1,0",0.000140983014386206,-0.274
120,"RI","Solyc01g067120.4","-",68255472,68255834,"7,7,18","411,315,291","63,43,31","155,193,125",0,-0.136
5,"RI","Solyc01g080290.3","+",72113524,72113957,"268,180,164","182,175,149","101,95,64","148,207,167",9.24696506862562e-08,0.172
15,"RI","Solyc01g080290.3","+",72113524,72113957,"52,69,50","175,200,113","160,130,125","113,133,119",1.38586460315259e-13,-0.21
20,"RI","Solyc01g080290.3","+",72113524,72113957,"30,36,34","134,199,159","229,215,191","141,139,149",0,-0.331
25,"RI","Solyc01g080290.3","+",72113524,72113957,"56,43,39","150,115,121","241,263,274","154,146,148",0,-0.313
30,"RI","Solyc01g080290.3","+",72113524,72113957,"37,47,58","158,175,125","295,304,268","130,143,136",0,-0.377
40,"RI","Solyc01g080290.3","+",72113524,72113957,"52,79,55","139,149,160","253,297,335","146,178,185",0,-0.293
50,"RI","Solyc01g080290.3","+",72113524,72113957,"60,75,84","190,197,192","304,265,341","155,164,155",0,-0.33
60,"RI","Solyc01g080290.3","+",72113524,72113957,"64,78,77","144,198,156","370,337,284","138,209,150",0,-0.32
70,"RI","Solyc01g080290.3","+",72113070,72113526,"146,128,136","197,195,142","620,527,586","179,153,211",0,-0.337
70,"RI","Solyc01g080290.3","+",72113524,72113957,"51,51,70","169,89,123","358,268,308","230,136,172",0,-0.277
70,"RI","Solyc01g080290.3","+",72113070,72113526,"116,92,94","23,5,7","372,324,353","6,2,0",4.13889343218414e-11,-0.156
80,"RI","Solyc01g080290.3","+",72113524,72113957,"64,64,74","149,140,152","303,296,268","195,179,156",0,-0.264
90,"RI","Solyc01g080290.3","+",72113524,72113957,"47,94,71","154,235,194","263,321,305","198,187,227",0,-0.27
105,"RI","Solyc01g080290.3","+",72113524,72113957,"54,55,53","155,157,137","312,147,217","228,231,214",2.26452889849572e-07,-0.175
120,"RI","Solyc01g080290.3","+",72113524,72113957,"47,56,70","182,185,184","215,225,337","226,265,232",2.42522982828636e-14,-0.212
15,"RI","Solyc01g080510.3","+",72336922,72337391,"20,21,15","2,8,0","22,19,28","0,0,0",0.000680042642177653,-0.2
70,"RI","Solyc01g080510.3","+",72337695,72338140,"4,1,1","7,1,0","28,9,17","0,0,0",0.000762932532306377,-0.468
80,"RI","Solyc01g080510.3","+",72338344,72338574,"37,35,28","13,1,6","82,68,76","2,4,0",0.000757742565629141,-0.179
105,"RI","Solyc01g080510.3","+",72337695,72338140,"8,9,12","0,3,4","23,11,22","0,0,0",0.000650757911637466,-0.251
30,"RI","Solyc01g080580.4","-",72400360,72400807,"19,32,34","17,33,20","22,10,16","38,51,36",0.000715761493557273,0.22
40,"RI","Solyc01g080580.4","-",72400360,72400751,"48,28,13","26,29,26","17,6,16","44,39,82",0.000266565520363504,0.233
120,"RI","Solyc01g080580.4","-",72400360,72400751,"87,48,47","61,56,67","0,2,5","54,32,62",0,0.31
25,"RI","Solyc01g086650.3","-",73877313,73877762,"9,9,4","311,364,333","57,86,96","353,361,366",0,-0.102
40,"RI","Solyc01g086650.3","-",73877273,73877762,"9,6,1","269,238,210","92,83,122","295,315,457",0,-0.129
50,"RI","Solyc01g086650.3","-",73877287,73877762,"0,2,9","206,189,263","116,104,141","441,315,427",0,-0.144
60,"RI","Solyc01g086650.3","-",73877313,73877762,"4,16,1","192,236,146","108,78,179","334,363,289",0,-0.161
70,"RI","Solyc01g086650.3","-",73877509,73877761,"21,0,6","246,219,243","138,133,111","428,377,369",0,-0.139
80,"RI","Solyc01g086650.3","-",73877273,73877762,"3,15,2","210,221,208","150,171,162","345,402,358",0,-0.187
90,"RI","Solyc01g086650.3","-",73877509,73877758,"1,4,9","276,374,284","150,122,185","392,412,545",0,-0.157
105,"RI","Solyc01g086650.3","-",73877273,73877762,"4,11,6","208,447,407","132,156,96","379,374,366",0,-0.155
120,"RI","Solyc01g086650.3","-",73877273,73877762,"5,10,9","345,367,282","156,120,153","338,386,394",0,-0.17
70,"RI","Solyc01g087590.3","+",74789691,74789960,"0,0,2","96,79,84","9,18,21","70,77,57",1.7904998471513e-12,-0.128
80,"RI","Solyc01g087590.3","+",74789691,74789960,"1,2,1","78,68,157","30,8,13","43,33,63",6.02697129835113e-14,-0.177
105,"RI","Solyc01g087590.3","+",74789691,74789960,"0,0,0","71,51,48","27,18,22","88,104,110",3.26706598282636e-12,-0.126
120,"RI","Solyc01g087590.3","+",74789691,74789960,"1,0,1","61,90,51","37,23,12","86,116,107",2.08348990234208e-11,-0.125
40,"RI","Solyc01g087750.4","-",74918907,74919351,"1,4,1","0,0,0","6,4,5","2,5,2",5.31621814064274e-07,0.519
80,"RI","Solyc01g087750.4","-",74918896,74919056,"20,11,15","3,2,3","25,20,7","0,0,0",0.0005342700731105,-0.228
90,"RI","Solyc01g087750.4","-",74918896,74919056,"15,43,26","13,0,6","7,22,17","0,0,0",6.61277395565214e-05,-0.29
20,"RI","Solyc01g088100.4","+",75205529,75205974,"57,62,50","16,21,21","35,35,44","23,49,50",0.000308895258490964,0.259
60,"RI","Solyc01g088100.4","+",75205529,75205974,"41,67,51","26,40,22","28,33,24","58,33,34",0.000594254944061853,0.215
90,"RI","Solyc01g088100.4","+",75205529,75205974,"46,123,73","24,42,51","41,20,32","37,40,66",0.000145320109572453,0.249
105,"RI","Solyc01g088100.4","+",75205529,75205974,"53,44,65","13,21,16","42,31,27","43,44,41",3.61164536763215e-07,0.339
120,"RI","Solyc01g088100.4","+",75205529,75205974,"73,49,48","24,23,23","27,16,36","29,42,44",4.70115909272909e-06,0.287
80,"RI","Solyc01g088480.3","-",75511951,75512406,"14,9,21","0,0,0","23,8,20","6,0,3",0.000266665247360828,0.172
90,"RI","Solyc01g088480.3","-",75511951,75512403,"27,14,22","0,0,1","9,14,14","8,0,4",0.000218396566312327,0.287
25,"RI","Solyc01g094210.2","+",78030319,78030787,"203,194,198","193,199,179","79,101,99","175,279,279",1.56853953693871e-13,0.18
40,"RI","Solyc01g094210.2","+",78030294,78030791,"168,173,166","203,183,197","99,64,108","267,240,253",7.43383309053352e-11,0.153
50,"RI","Solyc01g094210.2","+",78030328,78030787,"225,337,287","209,274,292","87,109,102","271,240,227",0,0.185
60,"RI","Solyc01g094210.2","+",78030294,78030791,"220,212,205","229,245,285","59,116,134","238,381,269",6.77036351683925e-11,0.15
80,"RI","Solyc01g094210.2","+",78030294,78030791,"228,217,215","285,237,229","95,97,79","205,199,187",2.5072430738759e-06,0.12
30,"RI","Solyc01g094720.3","+",78417165,78417431,"0,0,2","1,2,1","1,3,1","0,0,1",4.76072767411874e-05,-0.61
30,"RI","Solyc01g094720.3","+",78419066,78419547,"6,23,11","0,0,0","9,10,18","4,5,0",0.000274589756044117,0.287
50,"RI","Solyc01g094720.3","+",78417523,78417963,"10,10,11","0,0,0","7,5,6","5,4,0",6.41156849177432e-05,0.396
90,"RI","Solyc01g094720.3","+",78417523,78417963,"1,8,8","0,0,1","5,12,6","0,9,4",0.000657643882221111,0.321
105,"RI","Solyc01g094720.3","+",78417275,78417603,"14,5,9","0,0,0","12,9,9","2,14,4",2.3640257329791e-07,0.449
105,"RI","Solyc01g094720.3","+",78417523,78417963,"3,3,8","0,0,0","6,8,6","0,10,3",2.98757308571282e-05,0.4
70,"RI","Solyc01g095460.3","+",78969425,78969895,"6,0,0","212,208,185","70,71,42","165,180,190",0,-0.142
70,"RI","Solyc01g095460.3","+",78966992,78967415,"1,0,0","129,57,82","35,6,19","93,83,78",3.15815749620797e-13,-0.108
90,"RI","Solyc01g095460.3","+",78969425,78969895,"4,35,7","148,246,174","59,61,84","175,196,193",0,-0.12
105,"RI","Solyc01g095460.3","+",78969425,78969895,"10,20,11","126,175,152","92,93,64","349,176,195",5.23480318653887e-12,-0.113
120,"RI","Solyc01g095460.3","+",78969425,78969895,"13,5,1","192,141,99","48,90,61","149,165,174",0,-0.149
5,"RI","Solyc01g095670.4","-",79130740,79131190,"13,12,12","0,0,0","10,13,7","4,0,7",0.000316347795977159,0.344
10,"RI","Solyc01g095670.4","-",79129637,79130083,"24,21,9","0,0,0","18,3,14","0,24,32",1.61121578134578e-05,0.58
15,"RI","Solyc01g095670.4","-",79129637,79130083,"12,18,12","41,16,0","20,9,11","0,0,0",1.84895315771862e-05,-0.493
25,"RI","Solyc01g095670.4","-",79130740,79131190,"7,14,9","0,0,0","3,1,8","0,5,5",0.000172218172450833,0.469
30,"RI","Solyc01g095670.4","-",79129637,79130083,"10,17,15","21,35,0","19,23,29","0,0,0",7.80365818502198e-06,-0.527
30,"RI","Solyc01g095670.4","-",79130740,79131190,"18,13,3","0,0,0","9,9,4","1,3,3",0.000177900511500046,0.394
40,"RI","Solyc01g095670.4","-",79130740,79131190,"21,9,7","0,1,0","4,10,2","3,2,9",1.4532064216929e-05,0.513
60,"RI","Solyc01g095670.4","-",79130740,79131190,"9,15,6","0,0,0","6,5,2","4,1,1",0.00067931442749529,0.414
70,"RI","Solyc01g095670.4","-",79130740,79131190,"14,8,14","0,0,0","3,4,7","4,2,5",4.78669183655357e-09,0.566
80,"RI","Solyc01g095670.4","-",79130740,79131190,"11,13,13","0,1,0","0,3,5","8,0,2",0.00076364550769765,0.43
80,"RI","Solyc01g095670.4","-",79130740,79131190,"20,19,16","2,8,8","8,6,5","0,0,1",0.000485749987632982,-0.279
105,"RI","Solyc01g095670.4","-",79130740,79131190,"18,17,18","0,1,0","11,1,3","4,7,0",0.000333410196584839,0.404
120,"RI","Solyc01g095670.4","-",79130740,79131190,"19,5,5","0,0,0","1,3,5","5,1,11",2.5108783412707e-10,0.681
120,"RI","Solyc01g095670.4","-",79130740,79131190,"19,5,5","0,0,0","1,3,5","3,2,1",2.6860434099696e-05,0.571
120,"RI","Solyc01g095670.4","-",79129637,79130083,"25,8,21","0,0,0","24,8,15","0,3,9",4.82482274000159e-05,0.309
30,"RI","Solyc01g097500.4","-",80587559,80587774,"15,25,17","3,14,4","19,5,19","0,0,0",9.26943243922191e-07,-0.333
60,"RI","Solyc01g097500.4","-",80591646,80592125,"3,17,4","0,0,2","5,7,6","9,4,4",0.000703788656673267,0.462
70,"RI","Solyc01g097500.4","-",80591646,80592125,"3,7,17","0,0,2","3,6,3","1,4,5",0.000135774053216398,0.517
80,"RI","Solyc01g097500.4","-",80587559,80587774,"17,22,30","5,1,10","13,7,19","0,0,0",1.57851674048123e-05,-0.248
90,"RI","Solyc01g097500.4","-",80588215,80588600,"2,9,1","1,0,0","3,5,3","7,1,3",0.000205330266234291,0.426
80,"RI","Solyc01g097770.4","-",80747862,80748142,"5,5,7","1,2,0","1,8,1","7,6,7",0.000757742565629141,0.579
90,"RI","Solyc01g097770.4","-",80747862,80748142,"4,14,12","0,0,0","2,4,5","3,7,1",1.22743004895763e-08,0.602
105,"RI","Solyc01g097770.4","-",80747862,80748142,"9,7,13","0,3,3","1,1,5","9,6,5",0.000154931219318467,0.587
105,"RI","Solyc01g097770.4","-",80747516,80747954,"4,1,5","0,3,9","5,2,2","0,0,0",3.66594709789372e-05,-0.52
105,"RI","Solyc01g097770.4","-",80748099,80748426,"1,18,7","0,3,0","6,3,9","10,2,4",0.000989675641588243,0.491
120,"RI","Solyc01g097770.4","-",80747862,80748142,"17,11,4","2,0,0","7,2,9","11,11,3",1.45968597186227e-06,0.627
50,"RI","Solyc01g097860.4","-",80814929,80815393,"36,61,71","71,72,77","14,11,11","63,39,72",3.47279659859904e-07,0.174
60,"RI","Solyc01g097860.4","-",80814929,80815308,"56,66,79","68,88,82","7,15,13","60,55,41",2.07333223109297e-08,0.193
80,"RI","Solyc01g097860.4","-",80820805,80821232,"28,16,30","16,14,17","37,58,47","6,10,5",2.84472025247704e-05,-0.341
90,"RI","Solyc01g097860.4","-",80814929,80815393,"97,78,76","133,136,91","16,7,6","38,35,41",6.70456879421979e-05,0.151
105,"RI","Solyc01g097860.4","-",80814929,80815393,"66,75,65","73,99,87","4,8,4","30,28,32",8.06057848993137e-08,0.204
120,"RI","Solyc01g097860.4","-",80814929,80815393,"81,58,68","93,78,96","3,2,8","23,28,42",2.0868960107086e-09,0.218
20,"RI","Solyc01g098500.3","+",81268924,81269295,"9,11,3","29,29,22","17,27,24","19,25,15",0.000293491138692121,-0.283
30,"RI","Solyc01g098500.3","+",81268973,81269449,"64,69,52","2,7,11","94,101,120","5,0,0",0.000444552934712325,-0.121
105,"RI","Solyc01g098500.3","+",81268924,81269105,"4,18,11","30,18,30","35,43,35","24,12,5",4.41505689776147e-05,-0.447
120,"RI","Solyc01g098500.3","+",81268924,81269295,"20,7,19","21,19,32","36,50,29","7,10,12",3.69684911929882e-07,-0.43
120,"RI","Solyc01g098500.3","+",81269232,81269647,"68,47,41","11,9,11","60,40,53","0,0,5",3.53145427535426e-05,-0.194
80,"RI","Solyc01g098610.4","-",81341108,81341460,"48,53,55","214,161,259","130,94,91","217,167,137",7.62107270175027e-09,-0.12
90,"RI","Solyc01g098610.4","-",81341108,81341460,"57,115,86","243,352,314","123,140,113","163,182,193",3.61190751468601e-11,-0.138
105,"RI","Solyc01g098610.4","-",81341108,81341460,"51,65,48","156,256,171","130,143,85","199,135,184",5.57819471417045e-06,-0.135
120,"RI","Solyc01g098610.4","-",81341125,81341460,"72,53,51","328,198,260","92,121,105","162,159,207",1.40399427620914e-11,-0.131
80,"RI","Solyc01g098830.3","+",81497871,81498104,"16,15,13","37,46,44","0,1,2","36,30,24",1.81369912111965e-07,0.151
90,"RI","Solyc01g098830.3","+",81497871,81498104,"11,31,15","28,71,48","1,2,6","29,35,52",6.55887627064201e-06,0.145
60,"RI","Solyc01g099930.3","-",82306051,82306273,"20,21,23","2,5,9","21,30,20","0,1,1",0.000166278359899426,-0.239
105,"RI","Solyc01g099930.3","-",82306196,82306634,"119,115,101","6,2,7","112,57,57","28,20,10",9.88329110740478e-08,0.252
120,"RI","Solyc01g099930.3","-",82306050,82306237,"14,14,25","9,5,1","17,29,22","0,1,0",2.51767561955763e-05,-0.296
120,"RI","Solyc01g099930.3","-",82306221,82306634,"157,112,97","10,0,7","59,84,48","10,10,15",0.000420493739575586,0.197
15,"RI","Solyc01g100360.4","-",82680983,82681416,"1,1,2","4,7,13","2,3,7","0,1,2",0.000225912730741492,-0.662
20,"RI","Solyc01g100360.4","-",82680983,82681416,"1,3,1","0,7,2","1,1,3","0,0,0",6.66303729446676e-05,-0.541
80,"RI","Solyc01g100850.3","+",83037056,83037472,"6,6,12","9,7,6","17,32,24","2,0,1",2.87114406000323e-08,-0.524
105,"RI","Solyc01g100850.3","+",83037238,83037736,"22,46,9","270,318,288","159,149,113","457,338,364",0,-0.114
120,"RI","Solyc01g100850.3","+",83037238,83037736,"35,13,17","335,226,229","136,129,126","387,371,394",0,-0.107
5,"RI","Solyc01g101040.3","+",83175402,83175828,"37,29,36","1,0,4","34,23,13","20,8,15",1.91199153709476e-06,0.432
50,"RI","Solyc01g101040.3","+",83175402,83175828,"41,61,39","0,14,11","21,13,6","17,15,13",4.18623875658244e-05,0.47
80,"RI","Solyc01g101040.3","+",83175402,83175828,"29,44,26","15,12,4","11,8,5","13,17,14",4.26563938923834e-05,0.43
90,"RI","Solyc01g101040.3","+",83175402,83175828,"41,54,32","9,7,11","3,4,13","21,14,31",1.93726449929184e-14,0.591
105,"RI","Solyc01g101040.3","+",83175402,83175828,"29,38,28","3,12,4","8,0,6","21,22,7",3.15799175202536e-09,0.598
5,"RI","Solyc01g102950.3","+",83876789,83877161,"30,43,34","7,4,8","49,62,54","0,3,0",7.5816276228825e-05,-0.199
50,"RI","Solyc01g102950.3","+",83881312,83881494,"148,185,155","235,252,304","224,207,220","243,195,165",8.96132740621859e-05,-0.129
50,"RI","Solyc01g102950.3","+",83877529,83877924,"21,58,56","285,262,378","123,86,89","240,208,218",1.50419800072592e-13,-0.126
60,"RI","Solyc01g102950.3","+",83881856,83882224,"27,26,25","0,0,0","21,43,30","4,5,1",0.000585284729554727,0.151
70,"RI","Solyc01g102950.3","+",83877529,83877924,"33,58,29","319,263,306","105,142,130","223,173,237",0,-0.185
80,"RI","Solyc01g102950.3","+",83877529,83877924,"29,38,55","288,271,305","78,97,110","157,165,131",0,-0.193
90,"RI","Solyc01g102950.3","+",83881298,83881493,"108,193,155","238,436,259","207,248,278","164,212,239",4.20467731878928e-13,-0.195
90,"RI","Solyc01g102950.3","+",83877491,83877924,"17,90,45","325,429,275","140,131,135","232,199,222",0,-0.191
105,"RI","Solyc01g102950.3","+",83877491,83877924,"31,44,35","211,255,253","101,90,100","210,205,196",2.60796268585442e-13,-0.135
105,"RI","Solyc01g102950.3","+",83881409,83881873,"38,43,35","280,275,291","115,134,114","319,221,302",3.58090689419712e-14,-0.117
120,"RI","Solyc01g102950.3","+",83881423,83881920,"41,39,29","369,273,302","143,125,215","212,315,241",0,-0.187
120,"RI","Solyc01g102950.3","+",83881852,83882090,"35,30,31","364,254,300","98,96,181","236,334,248",1.76078329998608e-13,-0.175
120,"RI","Solyc01g102950.3","+",83877529,83877924,"55,43,35","346,274,279","84,119,91","180,163,160",0,-0.174
80,"RI","Solyc01g103450.3","+",84350594,84350925,"13,12,6","0,0,0","14,14,13","4,4,5",4.41801376316572e-06,0.34
90,"RI","Solyc01g103450.3","+",84350594,84350925,"1,3,14","0,0,0","22,10,16","5,0,3",0.000536207572125244,0.168
120,"RI","Solyc01g103450.3","+",84351015,84351415,"12,2,18","2,0,0","6,6,4","2,3,3",0.000935156828778565,0.377
60,"RI","Solyc01g105020.3","-",85627042,85627376,"30,55,44","434,410,493","54,76,82","195,244,223",2.89348125040732e-14,-0.104
70,"RI","Solyc01g105020.3","-",85627882,85628295,"2,0,6","1,6,1","8,6,9","0,0,0",4.7214657300776e-05,-0.54
120,"RI","Solyc01g105020.3","-",85627042,85627376,"46,57,49","544,454,470","70,62,128","163,219,261",0,-0.132
